agent_id,agent_name,gender,team,manager,shift,location,experience_years,Tickets_Handled,Closed_Tickets,Avg_Response_Time,Avg_Resolution_Hours,Avg_CSAT,SLA_Percentage
109,"Aditya Bhatt",Male,"Delivery Support","Vikram Desai",Evening,Bangalore,8,0,0,NULL,NULL,NULL,NULL
30,"Deepak Reddy",Female,"Delivery Support","Vikram Desai",Evening,Bangalore,8,0,0,NULL,NULL,NULL,NULL
125,"Rahul Verma",Male,"Billing Support","Neha Patel",Morning,Hyderabad,6,0,0,NULL,NULL,NULL,NULL
70,"Muskan Shah",Female,"Product Support","Pooja Nair",Evening,Hyderabad,1,0,0,NULL,NULL,NULL,NULL
117,"Simran Dubey",Male,"Returns & Refunds","Priyanka Shah",Night,Hyderabad,4,0,0,NULL,NULL,NULL,NULL
90,"Khushi Desai",Male,"Delivery Support","Vikram Desai",Night,Hyderabad,5,0,0,NULL,NULL,NULL,NULL
60,"Varun Rao",Male,"Order Management","Amit Verma",Morning,Pune,8,0,0,NULL,NULL,NULL,NULL
1,"Siddharth Gupta",Male,"Payment Support","Anjali Mehta",Night,Pune,8,0,0,NULL,NULL,NULL,NULL
12,"Tushar Verma",Male,"Product Support","Pooja Nair",Night,Hyderabad,6,0,0,NULL,NULL,NULL,NULL
52,"Ishita Patel",Female,"Payment Support","Anjali Mehta",Morning,Hyderabad,5,0,0,NULL,NULL,NULL,NULL
24,"Rahul Pawar",Male,"Customer Success","Sandeep Gupta",Night,Hyderabad,3,0,0,NULL,NULL,NULL,NULL
84,"Aishwarya Gandhi",Female,"Account Support","Rakesh Iyer",Evening,Bangalore,4,0,0,NULL,NULL,NULL,NULL
106,"Aditi Mehta",Male,"Customer Success","Sandeep Gupta",Evening,Hyderabad,5,0,0,NULL,NULL,NULL,NULL
134,"Ayush Patel",Female,"Billing Support","Neha Patel",Morning,Hyderabad,5,0,0,NULL,NULL,NULL,NULL
144,"Priya Bhat",Male,"Premium Support","Kavita Joshi",Morning,Pune,2,0,0,NULL,NULL,NULL,NULL
2,"Harsh Bhatt",Female,"Technical Support","Rahul Sharma",Morning,Hyderabad,7,0,0,NULL,NULL,NULL,NULL
50,"Sneha Bhat",Male,"Payment Support","Anjali Mehta",Evening,Hyderabad,7,0,0,NULL,NULL,NULL,NULL
13,"Akash Nair",Male,"Delivery Support","Vikram Desai",Morning,Bangalore,2,0,0,NULL,NULL,NULL,NULL
101,"Priya Kumar",Male,"Returns & Refunds","Priyanka Shah",Morning,Hyderabad,5,0,0,NULL,NULL,NULL,NULL
26,"Simran Solanki",Male,"Technical Support","Rahul Sharma",Night,Pune,4,0,0,NULL,NULL,NULL,NULL
88,"Aarav Solanki",Female,"Customer Success","Sandeep Gupta",Morning,Pune,5,0,0,NULL,NULL,NULL,NULL
93,"Meera Mishra",Female,"Product Support","Pooja Nair",Evening,Hyderabad,7,0,0,NULL,NULL,NULL,NULL
128,"Mansi Chawla",Male,"Premium Support","Kavita Joshi",Morning,Hyderabad,2,0,0,NULL,NULL,NULL,NULL
55,"Nitin Thakur",Male,"Premium Support","Kavita Joshi",Morning,Hyderabad,2,0,0,NULL,NULL,NULL,NULL
139,"Yash Iyer",Male,"Account Support","Rakesh Iyer",Night,Bangalore,3,0,0,NULL,NULL,NULL,NULL
94,"Pooja Kumar",Female,"Payment Support","Anjali Mehta",Evening,Pune,8,0,0,NULL,NULL,NULL,NULL
